Date,Stock Price
2019-11-01,5.24
2019-12-01,5.41
2020-01-01,5.97
2020-02-01,5.89
2020-03-01,6.92
2020-04-01,6.39
2020-05-01,7.11
2020-06-01,8.83
2020-07-01,9.52
2020-08-01,10.73
2020-09-01,13.48
2020-10-01,13.76
2020-11-01,12.66
2020-12-01,13.49
2021-01-01,13.1
2021-02-01,13.05
2021-03-01,13.88
2021-04-01,13.57
2021-05-01,15.13
2021-06-01,16.27
2021-07-01,20.13
2021-08-01,19.7
2021-09-01,22.49
2021-10-01,20.75
2021-11-01,25.65
2021-12-01,33.22
2022-01-01,29.82
2022-02-01,25.1
2022-03-01,24.29
2022-04-01,27.38
2022-05-01,18.54
2022-06-01,18.72
2022-07-01,14.9
2022-08-01,18.18
2022-09-01,14.21
2022-10-01,12.35
2022-11-01,13.81
2022-12-01,17.0
2023-01-01,14.85
2023-02-01,19.69
2023-03-01,23.19
2023-04-01,27.51
2023-05-01,27.84
2023-06-01,38.49
2023-07-01,42.52
2023-08-01,46.46
2023-09-01,49.76
2023-10-01,44.03
2023-11-01,40.88
2023-12-01,46.53
2024-01-01,49.24
2024-02-01,62.1
2024-03-01,80.0
2024-04-01,90.3
2024-05-01,85.08
2024-06-01,113.62
2024-07-01,123.47
2024-08-01,117.53
2024-09-01,116.01
2024-10-01,121.77
