Date,Marketshare Percentage
2019-11-01,0.6919
2019-12-01,0.6935
2020-01-01,0.6920999999999999
2020-02-01,0.6861
2020-03-01,0.6804
2020-04-01,0.668
2020-05-01,0.6621
2020-06-01,0.6744
2020-07-01,0.6785
2020-08-01,0.6786
2020-09-01,0.6776
2020-10-01,0.6766
2020-11-01,0.6822
2020-12-01,0.7219
2021-01-01,0.6856
2021-02-01,0.6914
2021-03-01,0.6960999999999999
2021-04-01,0.7009
2021-05-01,0.6965
2021-06-01,0.706
2021-07-01,0.6916
2021-08-01,0.7142000000000001
2021-09-01,0.7033
2021-10-01,0.6952
2021-11-01,0.6988
2021-12-01,0.7064
2022-01-01,0.6973
2022-02-01,0.7067
2022-03-01,0.7168
2022-04-01,0.7073
2022-05-01,0.7214
2022-06-01,0.7061999999999999
2022-07-01,0.7394999999999999
2022-08-01,0.7085
2022-09-01,0.7218
2022-10-01,0.7357
2022-11-01,0.7057
2022-12-01,0.7031000000000001
2023-01-01,0.6936
2023-02-01,0.7105
2023-03-01,0.803
2023-04-01,0.71
2023-05-01,0.7104
2023-06-01,0.7078
2023-07-01,0.6882
2023-08-01,0.7029
2023-09-01,0.7237
2023-10-01,0.7699
2023-11-01,0.7015
2023-12-01,0.6897
2024-01-01,0.6958
2024-02-01,0.7226
2024-03-01,0.7246
2024-04-01,0.7208
2024-05-01,0.7608
2024-06-01,0.7172
2024-07-01,0.7162
2024-08-01,0.7215
2024-09-01,0.7336
2024-10-01,0.9506
